Country Code,Country Name,GDP Growth
MNE,Montenegro,6.406680329
MNG,Mongolia,5.032709637
MNP,Northern Mariana Islands,
MOZ,Mozambique,4.359800201
MRT,Mauritania,6.387023096
MUS,Mauritius,8.87988519
MWI,Malawi,0.923449719
MYS,Malaysia,8.650344224
NAC,North America,2.078673679
NAM,Namibia,5.349664086
NCL,New Caledonia,3.499999996
NER,Niger,11.9
NGA,Nigeria,3.251681408
NIC,Nicaragua,3.752284757
NLD,Netherlands,4.328918318
NOR,Norway,3.005635161
NPL,Nepal,5.631314559
NRU,Nauru,2.158273381
NZL,New Zealand,2.774842648
OED,OECD members,2.778351222
OMN,Oman,4.311253509
OSS,Other small states,4.540168378
PAK,Pakistan,4.767539531
PAN,Panama,10.80936612
PER,Peru,2.725500216
PHL,Philippines,7.580982128
PLW,Palau,-0.362288565
PNG,Papua New Guinea,5.165051326
POL,Poland,5.637566766
PRE,Pre-demographic dividend,4.140597246
PRI,Puerto Rico,3.568110247
PRK,"Korea, Dem. People's Rep.",
PRT,Portugal,6.827510876
PRY,Paraguay,0.176038366
PSE,West Bank and Gaza,4.082760273
PSS,Pacific island small states,9.308397154
PST,Post-demographic dividend,2.413232956
PYF,French Polynesia,4.46607459
QAT,Qatar,4.208871248
ROU,Romania,4.107027202
RUS,Russian Federation,-2.069711525
RWA,Rwanda,8.157734403
SAS,South Asia,6.312211692
SAU,Saudi Arabia,7.485984291
SDN,Sudan,-0.957816591
SEN,Senegal,3.821856051
SGP,Singapore,3.838076785
SLB,Solomon Islands,2.402481436
SLE,Sierra Leone,3.457539856
SLV,El Salvador,2.799552169
SMR,San Marino,
SOM,Somalia,2.438065277
SRB,Serbia,2.54995557
SSA,Sub-Saharan Africa (excluding high income),3.650321496
SSD,South Sudan,
SSF,Sub-Saharan Africa,3.660562423
SST,Small states,7.685584097
STP,Sao Tome and Principe,0.065282438
SUR,Suriname,2.433723709
SVK,Slovak Republic,1.870036199
SVN,Slovenia,2.460783314
SWE,Sweden,2.66319954
SWZ,Eswatini,0.47576934
SXM,Sint Maarten (Dutch part),9.800001111
SYC,Seychelles,14.97685133
SYR,Syrian Arab Republic,
TCA,Turks and Caicos Islands,6.199999486
TCD,Chad,2.804340748
TEA,East Asia & Pacific (IDA & IBRD countries),3.413565509
TEC,Europe & Central Asia (IDA & IBRD countries),1.767977505
TGO,Togo,5.759542515
THA,Thailand,2.462769341
TJK,Tajikistan,8.000000338
TKM,Turkmenistan,6.2
TLA,Latin America & the Caribbean (IDA & IBRD countries),4.007587993
TLS,Timor-Leste,-20.54158677
TMN,Middle East & North Africa (IDA & IBRD countries),4.414321615
TON,Tonga,-2.011520563
TSA,South Asia (IDA & IBRD),6.312211692
TSS,Sub-Saharan Africa (IDA & IBRD countries),3.660562423
TTO,Trinidad and Tobago,1.48223484
TUN,Tunisia,2.603960589
TUR,Turkiye,5.533469266
TUV,Tuvalu,0.677309361
TZA,Tanzania,4.566005764
UGA,Uganda,4.588021922
UKR,Ukraine,-28.75859059
UMC,Upper middle income,3.357154093
URY,Uruguay,4.707257615
USA,United States,1.935495895
UZB,Uzbekistan,5.668817055
VCT,St. Vincent and the Grenadines,7.159832866
VEN,"Venezuela, RB",
VGB,British Virgin Islands,
VIR,Virgin Islands (U.S.),
VNM,Viet Nam,8.123514468
VUT,Vanuatu,1.916057012
WLD,World,3.089607464
WSM,Samoa,-5.3062909
XKX,Kosovo,4.278498508
YEM,"Yemen, Rep.",
ZAF,South Africa,1.91040617
ZMB,Zambia,5.249622323
ZWE,Zimbabwe,6.52237533
